指标,股票代码,nan,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2025-03-31
速动比,000917,,1.9766,1.4977,1.1291,1.0038
存货周转,000917,,2.3016,1.4224,0.671,2.8026
应收周转,000917,,4.1994,2.7208,1.3054,6.3739
BVPS,002204,,4.0106,3.9158,3.892,3.7946
ROE,002204,,6.32,4.13,2.39,6.79
净利率,002204,,4.461,4.1888,5.116,3.4863
毛利率,002204,,--,--,--,--
净利,002204,,1.8481,1.1744,0.679,1.9675
负债率,002204,,70.9623,71.8188,71.6678,72.1614
流动比,002204,,1.1995,1.198,1.1983,1.1882
速动比,002204,,0.8188,0.8603,0.8533,0.8304
存货周转,002204,,1.4103,1.02,0.4824,1.9506
应收周转,002204,,1.7566,1.1481,0.5431,2.6985
BVPS,603608,,2.6019,2.6233,2.5352,2.539
ROE,603608,,-0.49,0.62,-0.09,-8.71
净利率,603608,,-0.6867,1.2858,-0.4581,-8.2433
毛利率,603608,,--,--,--,--
净利,603608,,-0.3221,0.4193,-0.0719,-4.8099
负债率,603608,,28.6034,30.7178,34.8606,35.0918
流动比,603608,,3.4048,2.9419,2.645,2.4964
速动比,603608,,2.3868,2.096,1.8647,1.6778
存货周转,603608,,1.0322,0.7173,0.3577,1.4182
应收周转,603608,,9.0351,5.8313,2.7229,10.9634
BVPS,000417,,7.4385,7.5233,7.4907,7.3675
ROE,000417,,3.66,3.57,1.58,4.05
净利率,000417,,4.3563,5.6322,4.3765,3.7636
毛利率,000417,,--,--,--,--
净利,000417,,1.7313,1.6221,0.7251,2.009
负债率,000417,,53.3691,53.0093,53.4043,56.5085
流动比,000417,,1.0957,1.0908,0.9736,0.9158
速动比,000417,,0.5908,0.6099,0.4958,0.4857
存货周转,000417,,1.4906,1.1097,0.641,2.0086
应收周转,000417,,22.445,15.9406,9.0101,40.4955
BVPS,002666,,4.5987,4.5521,4.5076,4.4796
ROE,002666,,2.22,1.66,0.79,1.96
净利率,002666,,1.949,2.2276,2.5115,1.3292
毛利率,002666,,--,--,--,--
净利,002666,,1.4919,1.1065,0.5291,1.283
负债率,002666,,31.5976,33.8218,32.8013,29.854
流动比,002666,,2.2729,2.1217,2.1214,2.2822
速动比,002666,,1.5181,1.4554,1.433,1.5894
存货周转,002666,,3.271,2.1584,0.8802,4.471
应收周转,002666,,4.8385,2.9609,1.2141,4.3244
BVPS,000632,,2.8207,2.8987,3.0598,3.1259
ROE,000632,,-15.52,-11.5,-2.95,-52.25
净利率,000632,,-3.083,-2.8113,-1.4542,-4.9088
毛利率,000632,,--,--,--,--
净利,000632,,-1.687,-1.257,-0.3609,-5.5942
负债率,000632,,84.2344,83.7583,83.2863,82.9149
流动比,000632,,0.9818,0.8886,0.8633,0.8762
速动比,000632,,0.4412,0.3927,0.3896,0.3971
存货周转,000632,,1.6461,1.3399,0.7456,3.3527
应收周转,000632,,31.94,25.9857,21.0521,98.308
BVPS,002264,,2.7855,2.8117,2.7368,2.597
ROE,002264,,8.92,7.3,4.75,13.99
净利率,002264,,7.3411,8.006,8.5856,7.0508
毛利率,002264,,--,--,--,--
净利,002264,,5.1016,4.3577,2.614,7.9231
负债率,002264,,41.9538,37.585,46.479,47.866
流动比,002264,,2.2098,2.4583,1.9983,1.9404
速动比,002264,,1.6476,1.8731,1.6282,1.4631
存货周转,002264,,2.3095,1.8946,1.1932,3.2609
应收周转,002264,,3.7405,2.7942,1.9454,5.9486
BVPS,002748,,5.7219,5.723,5.7062,5.6035
ROE,002748,,2.94,2.96,1.77,1.95
净利率,002748,,2.7097,3.9921,4.7671,1.3185
毛利率,002748,,--,--,--,--
净利,002748,,1.7641,1.7917,1.0776,1.1698
负债率,002748,,42.0088,40.8422,39.7133,39.2904
流动比,002748,,0.9612,0.9659,1.0069,1.0081
速动比,002748,,0.8263,0.826,0.8692,0.8959
存货周转,002748,,12.4295,8.2564,4.263,14.5094
应收周转,002748,,17.9946,13.82,5.3871,27.9767
BVPS,000566,,0.2485,0.322,0.3961,0.4551
ROE,000566,,-87.04,-43.21,-14.97,-290.36
净利率,000566,,-41.0586,-38.2037,-36.9244,-161.0173
毛利率,000566,,--,--,--,--
净利,000566,,-4.4129,-2.8449,-1.254,-23.6676
负债率,000566,,94.4325,93.0137,91.5096,90.3431
流动比,000566,,0.2833,0.3253,0.3177,0.3261
速动比,000566,,0.2162,0.2514,0.2297,0.2387
存货周转,000566,,1.4227,0.9281,0.3854,1.8432
应收周转,000566,,1.8873,1.2653,0.6016,2.8215
BVPS,000639,,3.0834,3.0719,3.1012,3.1021
